date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:00	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-2876e%22	http://light.pinsupreme.com/icon_fonts_assets/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://light.pinsupreme.com/icon_fonts_assets/font-awesome/css/font-awesome.min.css)
17:11:00	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-2876e%22	http://light.pinsupreme.com/icon_fonts_assets/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://light.pinsupreme.com/icon_fonts_assets/font-awesome/css/font-awesome.min.css)
17:11:06	32020/32020	---M--	200	added ('OK')	application/font-woff	etag:%225cf0a9aa-7d14%22	http://light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.woff	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.woff	(from http://light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.css)
17:11:08	54568/54568	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-d528%22	http://light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.eot	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.eot	(from http://light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.css)
17:11:09	150535/150535	---M--	200	added ('OK')	image/svg+xml	etag:%225cf0a9aa-24c07%22	http://light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.svg	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.svg	(from http://light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.css)
17:11:10	54568/54568	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-d528%22	http://light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.eot?	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-iconsd41d.eot	(from http://light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.css)
17:11:16	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-286ac%22	http://light.pinsupreme.com/icon_fonts_assets/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://light.pinsupreme.com/icon_fonts_assets/font-awesome/css/font-awesome.min.css)
17:11:16	56976/56976	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-de90%22	http://light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.ttf	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.ttf	(from http://light.pinsupreme.com/icon_fonts_assets/foundation-icon-font/foundation-icons.css)
17:11:20	63520/63520	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-f820%22	http://light.pinsupreme.com/icon_fonts_assets/metrize-icons/fonts/Metrize-Icons.eot	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/metrize-icons/fonts/Metrize-Icons.eot	(from http://light.pinsupreme.com/icon_fonts_assets/metrize-icons/style.css)
17:11:22	425814/425814	---M--	200	added ('OK')	image/svg+xml	etag:%225cf0a9aa-67f56%22	http://light.pinsupreme.com/icon_fonts_assets/metrize-icons/fonts/Metrize-Icons.svg	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/metrize-icons/fonts/Metrize-Icons.svg	(from http://light.pinsupreme.com/icon_fonts_assets/metrize-icons/style.css)
